facet_id,raw_value,normalized_value,leading_id_prefix,normalization_transforms,is_malformed,malformed_reason,facet_type,conversation_observable,sensitivity,requires_explicit_disclosure,abstention_reason,is_duplicate_normalized,duplicate_of_facet_id,scoring_scale,scoring_anchors_json
F0000,Risktaking,Risktaking,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Risktaking' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Risktaking'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Risktaking'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Risktaking'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Risktaking'.""}"
F0001,Naivety,Naivety,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Naivety' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Naivety'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Naivety'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Naivety'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Naivety'.""}"
F0002,Acidity,Acidity,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Acidity' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Acidity'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Acidity'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Acidity'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Acidity'.""}"
F0003,Democratic Leadership:,Democratic Leadership,,stripped_trailing_colon,True,header_like_trailing_colon,header_artifact,False,n/a,False,not_a_scorable_facet_category_header,False,,,
F0004,Common-sense,Common-sense,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Common-sense' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Common-sense'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Common-sense'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Common-sense'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Common-sense'.""}"
F0005,Hesitation,Hesitation,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Hesitation' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Hesitation'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Hesitation'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Hesitation'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Hesitation'.""}"
F0006,Discontentment,Discontentment,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Discontentment' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Discontentment'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Discontentment'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Discontentment'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Discontentment'.""}"
F0007,Overprotectiveness,Overprotectiveness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Overprotectiveness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Overprotectiveness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Overprotectiveness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Overprotectiveness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Overprotectiveness'.""}"
F0008,Merriness,Merriness,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Merriness' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Merriness'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Merriness'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Merriness'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Merriness'.""}"
F0009,Emotionalism,Emotionalism,,,False,,personality_trait_or_disposition,True,low,False,,False,,1-5 ordinal,"{""1"": ""Conversation shows clear, explicit evidence of low/absent 'Emotionalism' (or strong evidence of the opposite)."", ""2"": ""Conversation shows weak or partial evidence leaning toward low 'Emotionalism'."", ""3"": ""Evidence is mixed, neutral, or too thin to lean either direction on 'Emotionalism'."", ""4"": ""Conversation shows weak-to-moderate evidence leaning toward high 'Emotionalism'."", ""5"": ""Conversation shows clear, explicit, repeated evidence of high 'Emotionalism'.""}"
